fund_id,fund_name,manager,strategy,vintage_year,commitment,reported_at
F-1485,Vesper Growth Equity Fund VII,Vesper Ventures,Growth Equity,2010,"$20,000,000 USD",2026-06-23
F-1486,Foxglove Private Credit Fund III,Foxglove Equity,Private Credit,2013,"$1,000,000 USD",2025-09-02
F-1487,Kestrel Venture Capital Fund XI,Kestrel Equity,Venture Capital,2008,"$12,500,000",2025-09-10
F-1488,Vesper Buyout Fund VIII,Vesper Ventures,Buyout,2017,"€10,000,000 EUR",2025-10-12
F-1489,Ironwood Buyout Fund XI,Ironwood Ventures,Buyout,2008,"$25,000,000 USD",2025-12-09
F-1490,Kestrel Fund of Funds Fund XII,Kestrel Equity,Fund of Funds,2025,"$25,000,000 USD",2025-06-01
F-1491,Quarry Lane Fund of Funds Fund IX,Quarry Lane Holdings,Fund of Funds,2022,,2025-02-25
F-1492,Vantage Growth Equity Fund XII,Vantage Group,Growth Equity,2018,"USD 20,000,000",2025-06-05
F-1493,Sable Creek Infrastructure Fund V,Sable Creek Advisors,Infrastructure,2017,"$1,500,000 USD",2025-01-24
F-1494,Vesper Buyout Fund III,Vesper Ventures,Buyout,2014,"$2,500,000 USD",2026-06-09
F-1495,Vesper Secondaries Fund XI,Vesper Ventures,Secondaries,2021,"$1,250,000.01 USD",2026-06-17
F-1496,Vantage Infrastructure Fund X,Vantage Group,Infrastructure,2024,"$2,000,000 USD",2026-01-02
F-1497,Fairhaven Private Credit Fund III,Fairhaven Ventures,Private Credit,2023,,2026-03-13
F-1498,Granite Peak Real Estate Fund IX,Granite Peak Partners,Real Estate,2018,"$20,000,000 USD",2025-06-12
F-1499,Granite Peak Growth Equity Fund X,Granite Peak Partners,Growth Equity,2021,"$1,250,000.75 USD",2026-06-16
F-1500,Vesper Secondaries Fund XII,Vesper Ventures,Secondaries,2010,"$1,500,000 USD",2026-08-13
